Drug,AssayNo,RepNo,sgRNA,PctRed
PDS_IC30,CGA4,Rep2,MMS22L.3  (20:1),34.6
PDS_IC30,CGA4,Rep3,MMS22L.3  (20:1),24.8
PDS_IC30,CGA7,Rep1,MMS22L.3  (20:1),25.3
PDS_IC30,CGA7,Rep2,MMS22L.3  (20:1),13.2
PDS_IC30,CGA7,Rep3,MMS22L.3  (20:1),12.1
BMH-21_IC30,CGA4,Rep1,MMS22L.3  (20:1),42.6
BMH-21_IC30,CGA4,Rep2,MMS22L.3  (20:1),16.5
BMH-21_IC30,CGA4,Rep3,MMS22L.3  (20:1),59.4
BMH-21_IC30,CGA5,Rep1,MMS22L.3  (20:1),66.9
BMH-21_IC30,CGA5,Rep2,MMS22L.3  (20:1),68.7
BMH-21_IC30,CGA5,Rep3,MMS22L.3  (20:1),66.5
