id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
NonTargetControl_0045,1,0.16741,0.30569,0.976925,163,1,0.83259,0.83242,0.984347,436,0
RAD18,6,0.16782,0.30644,0.976925,164,3,0.041094,0.1086,0.88888,63,2
ERCC1,6,0.16984,0.30939,0.976925,165,1,0.035321,0.095246,0.870348,58,3
RAD50,6,0.16997,0.30961,0.976925,166,3,0.62012,0.68886,0.984347,364,1
UBE2C,6,0.17047,0.31041,0.976925,167,2,0.08203,0.17642,0.966698,93,3
PSMA7,6,0.17323,0.31387,0.976925,168,3,0.47875,0.6083,0.969896,332,1
DLGAP5,6,0.17578,0.31751,0.976925,169,2,0.92762,0.92695,0.984347,498,0
HAUS3,6,0.17761,0.32007,0.976925,170,3,0.07443,0.16487,0.966698,88,2
NonTargetControl_0032,1,0.17765,0.32011,0.976925,171,1,0.82235,0.82319,0.984347,431,0
RAD51C,6,0.17806,0.32075,0.976925,172,2,0.21774,0.36842,0.966698,184,1
NonTargetControl_0029,1,0.18174,0.32627,0.976925,173,1,0.81826,0.81964,0.984347,428,0
CDC25C,6,0.18204,0.3268,0.976925,174,1,0.026681,0.074939,0.870348,41,3
PPP4C,6,0.18342,0.32911,0.976925,175,2,0.20997,0.36181,0.966698,181,2
UBA52,6,0.18377,0.32956,0.976925,176,2,0.061035,0.14436,0.960213,79,2
TUBB4B,6,0.18428,0.33007,0.976925,177,3,0.089631,0.18865,0.966698,96,2
TPR,6,0.1854,0.33147,0.976925,178,3,0.97138,0.97029,0.988004,516,0
POLR1A,6,0.1855,0.33156,0.976925,179,2,0.92168,0.92112,0.984347,490,0
POLR2F,6,0.18573,0.33179,0.976925,180,2,0.63539,0.69723,0.984347,368,1
PSMB1,6,0.18821,0.33575,0.981956,181,3,0.11582,0.22867,0.966698,115,2
PARP4,6,0.1896,0.33767,0.981956,182,2,0.080121,0.17343,0.966698,92,1
BTG2,6,0.19066,0.33905,0.981956,183,2,0.8273,0.82738,0.984347,434,1
NonTargetControl_0013,1,0.19403,0.34182,0.984292,184,1,0.80597,0.80913,0.984347,423,0
HAUS2,6,0.1958,0.34357,0.984292,185,2,0.92716,0.92646,0.984347,496,0
NEIL3,6,0.20287,0.34985,0.985987,186,2,0.45632,0.58647,0.969086,319,2
PPP4R2,6,0.20365,0.3505,0.985987,187,2,0.88692,0.88566,0.984347,469,0
PSMB7,6,0.20936,0.35574,0.985987,188,1,0.92693,0.92626,0.984347,495,0
APC,6,0.21314,0.35878,0.985987,189,2,0.058909,0.14085,0.960213,77,2
CDC45,6,0.21774,0.36289,0.985987,190,1,0.61645,0.68703,0.984347,363,1
CCNE1,6,0.22107,0.36586,0.985987,191,1,0.84148,0.84057,0.984347,445,1
RFC1,6,0.22271,0.36763,0.985987,192,2,0.14498,0.27365,0.966698,137,1
CCNH,6,0.2277,0.37227,0.985987,193,1,0.16836,0.3075,0.966698,157,3
PARP3,6,0.23803,0.38157,0.985987,194,2,0.093139,0.19433,0.966698,100,2
CRY2,6,0.23965,0.38264,0.985987,195,2,0.31238,0.45176,0.966698,236,2
PSMB5,6,0.24453,0.38706,0.985987,196,2,0.17487,0.31735,0.966698,164,3
