id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
RFC2,6,0.39861,0.56489,0.999972,272,2,0.0051085,0.020615,0.905459,9,3
MPG,6,0.39944,0.56569,0.999972,273,2,0.055009,0.1437,0.9375,79,4
NonTargetControl_0021,1,0.40051,0.56631,0.999972,274,0,0.59949,0.72446,0.996177,375,0
POLD1,6,0.41374,0.57599,0.999972,275,2,0.60336,0.72736,0.996177,377,2
CRY1,6,0.4144,0.57651,0.999972,276,2,0.57808,0.70728,0.996177,370,1
PPP4R4,6,0.42027,0.58026,0.999972,277,1,0.44816,0.61023,0.996177,318,2
GTF2E2,6,0.42287,0.58236,0.999972,278,1,0.53954,0.67705,0.996177,351,2
PLK1,6,0.42674,0.58525,0.999972,279,1,0.016378,0.056165,0.905459,28,4
PSMA3,6,0.4268,0.58529,0.999972,280,2,0.51345,0.65822,0.996177,341,2
PSMD3,6,0.43188,0.58916,0.999972,281,1,0.067135,0.16666,0.950342,92,4
GTF2H1,6,0.43443,0.59104,0.999972,282,1,0.61345,0.7353,0.996177,378,2
ANAPC11,6,0.4357,0.59207,0.999972,283,1,0.9577,0.95772,0.996177,503,0
TOP2A,6,0.43668,0.59295,0.999972,284,2,0.02429,0.078377,0.905459,42,4
GINS4,6,0.43824,0.59414,0.999972,285,1,0.0033222,0.013796,0.905459,6,3
PSMB11,6,0.44079,0.59592,0.999972,286,2,0.61487,0.73633,0.996177,379,2
MCM8,6,0.44653,0.60001,0.999972,287,2,0.060499,0.15458,0.9375,86,2
PSMD11,6,0.44816,0.60149,0.999972,288,2,0.037022,0.10651,0.905459,58,3
CDC7,6,0.4498,0.60294,0.999972,289,2,0.48779,0.63976,0.996177,332,2
SMC6,6,0.45061,0.60375,0.999972,290,2,0.68136,0.788,0.996177,406,1
FEN1,6,0.45202,0.60483,0.999972,291,1,0.95065,0.95075,0.996177,502,0
PSMD12,6,0.45388,0.60642,0.999972,292,2,0.13958,0.29129,0.974749,158,3
PSMB2,6,0.4545,0.607,0.999972,293,2,0.47978,0.63304,0.996177,329,2
PML,6,0.45697,0.60892,0.999972,294,1,0.12139,0.26737,0.971779,143,3
RPA4,6,0.45957,0.61084,0.999972,295,2,0.16301,0.32097,0.996137,170,3
TPR,6,0.46039,0.61148,0.999972,296,2,0.1011,0.233,0.971779,123,4
POLD2,6,0.46431,0.61477,0.999972,297,2,0.42019,0.59058,0.996177,308,2
MLH3,6,0.46525,0.61553,0.999972,298,2,0.54725,0.68335,0.996177,357,1
