id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
POLG,6,0.17959,0.35628,0.999766,179,2,0.30569,0.51415,0.994526,274,3
CHTF18,6,0.18419,0.36188,0.999766,180,2,0.65275,0.78977,0.998814,404,2
RPS27A,6,0.1855,0.36317,0.999766,181,2,0.72519,0.83388,0.998814,432,1
PSMB6,6,0.18894,0.36711,0.999766,182,3,0.92482,0.93605,0.998814,483,1
CDKN1A,6,0.19218,0.37083,0.999766,183,3,0.52486,0.71792,0.998814,365,2
DNAJA3,6,0.19237,0.37111,0.999766,184,2,0.19985,0.40111,0.949059,224,4
FEN1,6,0.20768,0.38878,0.999766,185,3,0.11212,0.26257,0.827706,164,2
PAPD7,6,0.20896,0.39015,0.999766,186,3,0.22271,0.43388,0.977713,232,3
ESPL1,6,0.20936,0.39052,0.999766,187,2,0.45108,0.65168,0.998814,341,3
APITD1,6,0.21155,0.39289,0.999766,188,3,0.68918,0.81169,0.998814,421,2
POLD2,6,0.21427,0.39564,0.999766,189,3,0.38564,0.59058,0.996379,312,2
RAD51C,6,0.21774,0.39958,0.999766,190,2,0.15925,0.33746,0.864041,207,3
SF3B3,6,0.22107,0.40324,0.999766,191,1,0.23428,0.44589,0.977713,240,3
RAD51B,6,0.22446,0.40694,0.999766,192,3,0.011286,0.043406,0.589227,37,3
TAF2,6,0.23075,0.41486,0.999766,193,3,0.33776,0.54537,0.996379,285,1
PRIM2,6,0.23175,0.41591,0.999766,194,3,0.67419,0.80287,0.998814,417,2
MTOR,6,0.23641,0.42108,0.999766,195,2,0.90691,0.92663,0.998814,477,1
RDM1,6,0.23722,0.42192,0.999766,196,3,0.74417,0.84492,0.998814,436,1
CHD4,6,0.24892,0.43453,0.999766,197,1,0.053191,0.15687,0.811569,101,4
TOP3B,6,0.25917,0.44533,0.999766,198,3,0.69978,0.81817,0.998814,426,2
UBE2T,6,0.26108,0.44759,0.999766,199,3,0.1198,0.27393,0.827706,174,3
PARG,6,0.26254,0.44901,0.999766,200,3,0.2902,0.49917,0.994526,264,3
PALB2,6,0.26649,0.45301,0.999766,201,2,0.24892,0.46001,0.985767,247,3
CDC25A,6,0.26913,0.45585,0.999766,202,2,0.49054,0.68899,0.998814,353,2
PSMD2,6,0.2694,0.45626,0.999766,203,3,0.02332,0.078339,0.680533,61,3
POLR2F,6,0.26996,0.45686,0.999766,204,2,0.081493,0.20946,0.827706,131,3
