id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
PPP4C,6,0.25375,0.3999,0.994559,203,2,0.26172,0.40573,0.982548,216,2
NonTargetControl_0023,1,0.25478,0.40079,0.994559,204,1,0.74522,0.76197,0.999673,395,0
NonTargetControl_0015,1,0.25512,0.40106,0.994559,205,1,0.74488,0.76179,0.999673,394,0
PSMA2,6,0.25855,0.40436,0.994559,206,2,0.96816,0.96803,0.999673,505,0
UBTF,6,0.26014,0.40582,0.994559,207,1,0.93252,0.93257,0.999673,484,0
BLM,6,0.26173,0.40743,0.994559,208,1,0.24534,0.39086,0.982548,208,2
CDC23,6,0.26254,0.40802,0.994559,209,2,0.25375,0.39795,0.982548,211,2
TREX2,6,0.26649,0.41152,0.994559,210,2,0.27657,0.41903,0.982548,221,2
FANCE,6,0.26666,0.41169,0.994559,211,2,0.28237,0.42398,0.982548,223,2
RUVBL2,6,0.26965,0.414,0.994559,212,1,0.1305,0.25088,0.950045,138,1
IP6K3,6,0.27122,0.4152,0.994559,213,1,0.14844,0.27673,0.965835,151,3
IGF1R,6,0.27436,0.41751,0.994559,214,1,0.12026,0.23535,0.944473,132,3
NTHL1,6,0.27749,0.42004,0.994559,215,1,0.62917,0.69218,0.999673,363,1
RAD52,6,0.28061,0.42269,0.994559,216,2,0.97928,0.97931,0.999673,517,0
RECQL,6,0.28071,0.42274,0.994559,217,2,0.57004,0.66134,0.992316,351,1
ORC1,6,0.28237,0.42422,0.994559,218,2,0.77296,0.7817,0.999673,407,1
CSNK1E,6,0.2832,0.42476,0.994559,219,2,0.75704,0.77019,0.999673,402,1
TNP1,6,0.28372,0.42514,0.994559,220,1,0.021215,0.061078,0.841293,37,4
C11orf30,6,0.28985,0.4304,0.994559,221,2,0.39378,0.52678,0.982548,274,1
NonTargetControl_0032,1,0.29027,0.4308,0.994559,222,0,0.70973,0.73881,0.999673,384,0
POLM,6,0.29235,0.43253,0.994559,223,2,0.46674,0.59601,0.990447,317,1
SUPT3H,6,0.29318,0.43328,0.994559,224,2,0.81611,0.81882,0.999673,423,1
PSMD12,6,0.29401,0.43395,0.994559,225,2,0.097565,0.20027,0.944473,112,2
NonTargetControl_0022,1,0.29437,0.43423,0.994559,226,0,0.70563,0.73612,0.999673,383,0
ORC6,6,0.29756,0.437,0.994559,227,1,0.15409,0.28529,0.982548,153,3
TERT,6,0.29901,0.43825,0.994559,228,2,0.91162,0.9121,0.999673,470,0
TAF1A,6,0.30152,0.44058,0.994559,229,2,0.16103,0.29562,0.982548,158,2
MAD2L1,6,0.30213,0.44094,0.994559,230,2,0.54513,0.65028,0.992316,345,1
ANAPC2,6,0.30235,0.44107,0.994559,231,2,0.3107,0.44864,0.982548,239,2
NonTargetControl_0001,1,0.30324,0.44184,0.994559,232,0,0.69676,0.73024,0.999673,379,0
CEP63,6,0.31154,0.44979,0.994559,233,2,0.3886,0.52217,0.982548,271,2
CENPF,6,0.31418,0.45241,0.994559,234,1,0.33921,0.47621,0.982548,252,1
NonTargetControl_0040,1,0.31689,0.45514,0.994559,235,0,0.68311,0.72185,0.999673,371,0
RFC2,6,0.31716,0.45534,0.994559,236,2,0.99416,0.99407,0.999673,526,0
RAD51C,6,0.3174,0.45559,0.994559,237,2,0.31716,0.4548,0.982548,242,2
DLGAP5,6,0.32014,0.45824,0.994559,238,1,0.32745,0.46425,0.982548,246,2
PPP4R4,6,0.32075,0.45874,0.994559,239,2,0.029113,0.080413,0.841293,50,3
TERF2,6,0.32158,0.45956,0.994559,240,2,0.43915,0.56864,0.987616,304,2
RAD23B,6,0.32606,0.46384,0.994559,241,1,0.47414,0.60304,0.990447,321,2
TRRAP,6,0.32913,0.46698,0.994559,242,2,0.98906,0.98908,0.999673,523,0
APTX,6,0.33047,0.46801,0.994559,243,2,0.30364,0.44221,0.982548,236,2
PSMA7,6,0.33164,0.46907,0.994559,244,2,0.12539,0.24275,0.946018,136,3
UBE2B,6,0.33248,0.4701,0.994559,245,2,0.79411,0.79939,0.999673,415,1
CDKN1A,6,0.33339,0.47103,0.994559,246,1,0.012896,0.04051,0.841293,21,4
RBBP8,6,0.33416,0.47169,0.994559,247,2,0.11662,0.22949,0.944473,128,2
POLK,6,0.33751,0.47509,0.994559,248,2,0.14678,0.27457,0.965835,150,2
RBM14,6,0.33919,0.47643,0.994559,249,2,0.44704,0.5758,0.987616,309,1
PSMD9,6,0.34355,0.48,0.994559,250,2,0.31865,0.45596,0.982548,243,1
OGG1,6,0.34643,0.48226,0.994559,251,1,0.055242,0.13466,0.927067,76,3
TDP1,6,0.3493,0.48499,0.994559,252,2,0.90258,0.90305,0.999673,468,0
HAUS2,6,0.35073,0.48628,0.994559,253,1,0.80849,0.81226,0.999673,419,1
ESPL1,6,0.35215,0.48759,0.994559,254,2,0.98745,0.98731,0.999673,521,0
NonTargetControl_0012,1,0.35239,0.48779,0.994559,255,0,0.64761,0.70208,0.999673,366,0
UBE2V1,6,0.35261,0.48803,0.994559,256,2,0.08203,0.17597,0.944473,97,2
